"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.09.2021","183,34","183,97","184,64","182,12","5,68M","-0,58%"
"15.09.2021","184,41","182,06","184,66","181,10","5,93M","1,10%"
"14.09.2021","182,40","184,96","185,13","182,15","6,19M","-1,39%"
"13.09.2021","184,98","185,12","185,80","183,50","6,82M","0,47%"
"10.09.2021","184,12","186,36","187,10","184,01","5,57M","-0,96%"
"09.09.2021","185,91","185,15","187,58","184,57","7,19M","0,41%"
"08.09.2021","185,15","184,34","187,46","183,92","8,63M","0,44%"
"07.09.2021","184,34","181,02","185,55","180,05","10,70M","1,85%"
"03.09.2021","181,00","181,82","181,82","179,13","6,85M","-0,47%"
"02.09.2021","181,86","184,16","185,30","181,55","6,50M","-0,88%"
"01.09.2021","183,48","181,96","184,21","181,78","7,30M","1,20%"
"31.08.2021","181,30","179,25","182,98","178,53","8,62M","0,73%"
"30.08.2021","179,98","180,50","181,39","178,87","6,42M","-0,09%"
